,Network,QuantBits,Accuracy,AccuracySubMetric1,AccuracySubMetric2,AccuracySubMetric3,Sparsity,Size,Valid
3,retinanet_resnet50_fpn,6,27.093597721284766,10.64978924895323,3.988266180909946,0.0,0.32243397598262724,17283039.75,0
4,retinanet_resnet50_fpn,7,36.00784192249776,15.055732871731859,6.871881366140357,0.0,0.1705713558534231,24682794.5,0
5,retinanet_resnet50_fpn,8,38.51757518771263,16.352866180312482,8.015613062689406,0.0,0.08758505721603216,31031276.0,0
6,retinanet_resnet50_fpn,16,56.0208428529142,36.82863614867093,38.91486878237424,0.0,0.0,136040192.0,1
0,retinanet_resnet50_fpn_v2,32,62.8703846067674,42.86869090111467,45.79557690335373,0.0,0.0,152555264.0,1
1,retinanet_resnet50_fpn_v2,4,0.0005390577638570783,0.000279881726598948,0.0002755069268413412,0.0,0.6680004958727612,6331034.0,0
2,retinanet_resnet50_fpn_v2,5,0.0038464549142797114,0.0012956832372592536,5.3261703734683324e-05,0.0,0.38213202528363754,14727970.625,0
3,retinanet_resnet50_fpn_v2,6,1.3573940414313062,0.393646368208109,0.09573480344394844,0.0,0.19886815573928673,22915665.0,0
4,retinanet_resnet50_fpn_v2,7,19.70438869261485,6.951752814632467,2.1771743558595116,0.0,0.10009193783047698,30031249.5,0
5,retinanet_resnet50_fpn_v2,8,35.221634515787436,16.121045566032493,10.680988162138787,0.0,0.0500806317637128,36228800.0,0
6,retinanet_resnet50_fpn_v2,16,61.33422367055481,41.469385186551236,44.00970743055031,0.0,0.0,152555264.0,1
0,fasterrcnn_mobilenet_v3_large_320_fpn,32,38.86637814582091,23.272435240647155,23.592692685015663,0.0,0.0,77509664.0,1
1,fasterrcnn_mobilenet_v3_large_320_fpn,4,0.0,0.0,0.0,0.0,0.73,2640000,0
2,fasterrcnn_mobilenet_v3_large_320_fpn,5,0.0,0.0,0.0,0.0,0.0,0.0,0
1,fasterrcnn_mobilenet_v3_large_320_fpn,6,8.037089626350918,3.8037682356425018,3.1222654152562797,0.0,0.24374121915945857,10990755.75,0
2,fasterrcnn_mobilenet_v3_large_320_fpn,7,29.59091218811433,15.481556028369631,14.605869530204677,0.0,0.12816378613123647,14782191.375,0
3,fasterrcnn_mobilenet_v3_large_320_fpn,8,35.510554969643614,19.222648141464653,19.320157970704358,0.0,0.06701295982911237,18078878.0,1
4,fasterrcnn_mobilenet_v3_large_320_fpn,16,38.89115879501636,23.603239949682724,24.251449565264803,0.0,0.0,77509664.0,1
